epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,16116,1.54941,0.89603,1.83078,0.77568,0.70471,0.76835,0.49378,2.80151,1.95454,2.65484,0.0028225,0.0028225,0.0028225
147,16225.8,1.59125,0.93793,1.8427,0.77573,0.69623,0.76316,0.48872,2.7978,1.95997,2.65767,0.002773,0.002773,0.002773
148,16335.9,1.58303,0.91245,1.84331,0.78542,0.69422,0.76456,0.49112,2.79481,1.96374,2.65357,0.0027235,0.0027235,0.0027235
149,16445.7,1.54412,0.91549,1.82897,0.76539,0.70213,0.76575,0.49371,2.78002,1.9801,2.647,0.002674,0.002674,0.002674
150,16555.6,1.55655,0.90176,1.83271,0.77479,0.69857,0.76783,0.49375,2.77967,1.99055,2.64687,0.0026245,0.0026245,0.0026245
151,16665.4,1.51863,0.8723,1.819,0.78717,0.68233,0.76333,0.49003,2.78392,2.00031,2.65096,0.002575,0.002575,0.002575
152,16775.4,1.54049,0.90921,1.83062,0.74338,0.71476,0.75913,0.4867,2.79269,1.9915,2.65921,0.0025255,0.0025255,0.0025255
153,16885.2,1.55034,0.88136,1.82725,0.75785,0.69623,0.76302,0.49008,2.79338,1.9923,2.66478,0.002476,0.002476,0.002476
154,16995,1.50607,0.85858,1.8263,0.73348,0.70475,0.76028,0.48929,2.80137,1.97959,2.67071,0.0024265,0.0024265,0.0024265
155,17104.8,1.50739,0.88081,1.81905,0.73595,0.72599,0.76799,0.49412,2.80663,1.96511,2.67544,0.002377,0.002377,0.002377
156,17214.7,1.50074,0.84706,1.80686,0.73596,0.72499,0.76623,0.49227,2.81859,1.97005,2.68223,0.0023275,0.0023275,0.0023275
157,17324.5,1.47697,0.83714,1.81444,0.74308,0.71697,0.76245,0.49126,2.8258,1.97273,2.68617,0.002278,0.002278,0.002278
158,17434.7,1.49754,0.84714,1.82124,0.74741,0.71037,0.76354,0.49388,2.82933,1.96807,2.69173,0.0022285,0.0022285,0.0022285
159,17544.7,1.47399,0.81321,1.80041,0.76865,0.70274,0.76772,0.4944,2.83002,1.97254,2.69132,0.002179,0.002179,0.002179
160,17654.8,1.45876,0.82866,1.79685,0.76906,0.71455,0.77132,0.49612,2.82972,1.95904,2.68878,0.0021295,0.0021295,0.0021295
161,17764.9,1.46809,0.84279,1.8039,0.76971,0.71863,0.77363,0.4969,2.82433,1.96378,2.6869,0.00208,0.00208,0.00208
162,17874.7,1.43753,0.8279,1.80157,0.74702,0.73215,0.77183,0.49696,2.82537,1.95723,2.6864,0.0020305,0.0020305,0.0020305
163,17984.5,1.44564,0.81482,1.79483,0.74909,0.72796,0.76979,0.49426,2.82377,1.94546,2.68644,0.001981,0.001981,0.001981
